age,diag,region,p_adf,p_kpss,d,order,seasonal,aic,cv_mae,converged,mae_test,rmse_test,cov_total,cov_covid,cov_post,lb_p,status,error
0-14,Bronquiolitis,Barcelona Metropolitana Sud,2.2534474568548448e-05,0.1,0.0,"(2, 0, 1)","(0, 1, 1, 52)",5564.740744530617,1356.943100160619,True,1666.0026870641682,2400.2376517579773,0.8923076923076924,0.8365384615384616,0.9294871794871795,0.007268991734374719,ok,
0-14,Bronquiolitis,Camp de Tarragona,0.00047711550507892325,0.1,0.0,"(2, 0, 2)","(0, 1, 1, 52)",5376.421406495032,792.5368782273008,False,1282.6456280775149,1848.2332534115455,0.9076923076923077,0.8653846153846154,0.9358974358974359,0.8241985280451837,ok,
0-14,Bronquiolitis,Catalunya Central,2.236824706261195e-06,0.1,0.0,"(1, 0, 1)","(0, 1, 1, 52)",5399.61170349659,943.1701225059201,True,1155.3249146909507,1630.2102628271823,0.9230769230769231,0.9326923076923077,0.9166666666666666,0.3356940938978761,ok,
0-14,Bronquiolitis,Girona,3.796841888342721e-06,0.1,0.0,"(2, 0, 2)","(0, 1, 1, 52)",5293.520958050207,975.4288107795788,False,1146.2737729941887,1653.3474358597507,0.8884615384615384,0.875,0.8974358974358975,0.5419408372575051,ok,
0-14,Bronquiolitis,Lleida,6.183962806338472e-06,0.1,0.0,"(0, 0, 2)","(0, 1, 1, 52)",5281.724473626116,713.1829684027855,True,1157.5598155166815,1645.4379660278416,0.8923076923076924,0.8557692307692307,0.9166666666666666,0.34315764288808837,ok,
0-14,Bronquiolitis,PenedÃ¨s,1.339904534793457e-06,0.1,0.0,"(2, 0, 2)","(0, 1, 1, 52)",5365.703357667186,895.2252502814366,False,1111.7612359425837,1531.9060966517125,0.9153846153846154,0.9038461538461539,0.9230769230769231,0.6891424719531665,ok,
0-14,Bronquiolitis,Terres de l'Ebre,6.457042716638652e-07,0.1,0.0,"(2, 0, 2)","(0, 1, 1, 52)",5271.555634251123,806.169149197736,False,1146.4370985504606,1517.4649945487338,0.8923076923076924,0.875,0.9038461538461539,0.9954124911639279,ok,
0-14,COVID-19,Alt Pirineu i Aran,,,,,,,,,,,,,,,fail,empty train or test
0-14,COVID-19,Barcelona Ciutat,8.773554838937943e-07,0.1,0.0,"(0, 0, 0)","(0, 1, 0, 52)",2.0,,True,5241.637332131514,14694.388251404083,0.515625,0.22,0.7051282051282052,,ok,
0-14,COVID-19,Barcelona Metropolitana Nord,,,,,,,,,,,,,,,fail,empty train or test
0-14,COVID-19,Barcelona Metropolitana Sud,,,,,,,,,,,,,,,fail,empty train or test
0-14,COVID-19,Camp de Tarragona,,,,,,,,,,,,,,,fail,empty train or test
0-14,COVID-19,Catalunya Central,,,,,,,,,,,,,,,fail,empty train or test
0-14,COVID-19,Girona,,,1.0,"(0, 1, 0)","(0, 1, 0, 52)",2.0,,True,4040.3417345096645,6153.836450475743,0.9884615384615385,1.0,0.9807692307692307,,ok,
0-14,COVID-19,Lleida,,,1.0,"(0, 1, 0)","(0, 1, 0, 52)",2.0,,True,1681.037536357013,4789.957670369671,0.9923076923076923,1.0,0.9871794871794872,,ok,
0-14,COVID-19,PenedÃ¨s,,0.1,1.0,"(0, 1, 0)","(0, 1, 0, 52)",2.0,,True,1873.2203508965038,4308.825722385221,0.9922779922779923,1.0,0.9870967741935484,,ok,
0-14,COVID-19,Terres de l'Ebre,,,,,,,,,,,,,,,fail,empty train or test
0-14,Escarlatina,Alt Pirineu i Aran,1.9824580040319472e-29,0.05588969012975546,0.0,"(1, 0, 2)","(1, 1, 1, 52)",5031.441894798572,533.9595414753658,True,583.1642176532042,771.9308517245458,0.9652509652509652,0.9903846153846154,0.9483870967741935,0.9100081111223833,ok,
0-14,Escarlatina,Barcelona Ciutat,4.499529619999574e-08,0.1,0.0,"(1, 0, 2)","(0, 1, 1, 52)",4440.649521707491,224.61604247493193,False,416.17402347124334,521.4133277887611,0.7653846153846153,0.6826923076923077,0.8205128205128205,0.34369527391189,ok,
0-14,Escarlatina,Barcelona Metropolitana Nord,7.317330544459481e-07,0.1,0.0,"(2, 0, 2)","(0, 1, 1, 52)",4316.3316480376325,184.6860136146612,True,425.1286075202962,523.0590712226478,0.6846153846153846,0.6346153846153846,0.717948717948718,0.5778199810326288,ok,
0-14,Escarlatina,Barcelona Metropolitana Sud,3.7042346943369888e-09,0.1,0.0,"(0, 0, 2)","(0, 1, 1, 52)",4297.797185627306,195.85103182364148,True,305.4946267504533,397.7302731024378,0.75,0.7019230769230769,0.782051282051282,0.35522789623118717,ok,
0-14,Escarlatina,Camp de Tarragona,2.7629750593412687e-08,0.020617429408157473,1.0,"(1, 1, 2)","(0, 1, 1, 52)",4364.7696418851265,187.19912002164094,False,291.7593889734517,383.60969583020744,0.8384615384615385,0.7115384615384616,0.9230769230769231,0.7166864061274167,ok,
0-14,Escarlatina,Catalunya Central,9.801462985726314e-12,0.02589066180095902,1.0,"(0, 1, 2)","(1, 1, 1, 52)",4597.999059828904,307.12678002793695,True,371.0787997880304,451.6611598875637,0.9346153846153846,0.8942307692307693,0.9615384615384616,0.6071175761789617,ok,
0-14,Escarlatina,Girona,1.2503996029581403e-07,0.1,0.0,"(2, 0, 2)","(0, 1, 1, 52)",4086.423353606981,143.07326839957034,True,254.30511318889677,397.5334058582478,0.7192307692307692,0.6634615384615384,0.7564102564102564,0.99139485818837,ok,
0-14,Escarlatina,Lleida,1.3831438392848987e-21,0.1,0.0,"(2, 0, 2)","(0, 1, 1, 52)",4430.980428803159,226.24630544656165,False,327.4022742258073,487.3189889074431,0.8615384615384616,0.7692307692307693,0.9230769230769231,0.8834323951861981,ok,
0-14,Escarlatina,PenedÃ¨s,3.1480688019841864e-15,0.1,0.0,"(2, 0, 2)","(0, 1, 1, 52)",4283.241576825735,178.7513512384748,False,272.87178196092736,332.9941485668994,0.8307692307692308,0.7019230769230769,0.9166666666666666,0.5425460216877857,ok,
0-14,Escarlatina,Terres de l'Ebre,8.70377437243961e-21,0.1,0.0,"(1, 0, 2)","(0, 1, 1, 52)",4530.50757381994,266.4624153830953,True,288.7650606545299,400.4083877290232,0.9536679536679536,0.9519230769230769,0.9548387096774194,0.953676433789733,ok,
0-14,Faringoamigdalitis,Alt Pirineu i Aran,9.440530839173448e-12,0.01,1.0,"(1, 1, 2)","(0, 1, 1, 52)",4731.2505315524995,317.9922768004571,False,717.6193895323805,824.2185620520239,0.7846153846153846,0.5673076923076923,0.9294871794871795,0.9643250867913845,ok,
0-14,Faringoamigdalitis,Barcelona Ciutat,1.5560131514937859e-06,0.1,0.0,"(1, 0, 2)","(0, 1, 1, 52)",5274.739423676541,1048.0879672315418,True,2899.2070684403297,3470.0691213535283,0.5923076923076923,0.27884615384615385,0.8012820512820513,0.12049621573764843,ok,
0-14,Faringoamigdalitis,Barcelona Metropolitana Nord,0.003232524724397306,0.09159747174222752,0.0,"(1, 0, 2)","(0, 1, 1, 52)",5366.801072606756,1161.4124383022536,True,3544.189070913545,4518.441847749531,0.6230769230769231,0.27884615384615385,0.8525641025641025,0.033476574257359226,ok,
0-14,Faringoamigdalitis,Barcelona Metropolitana Sud,1.7224551333950352e-06,0.1,0.0,"(1, 0, 2)","(1, 1, 1, 52)",5218.433428496002,938.8376745110183,True,2722.6124104586975,3441.9465508604662,0.573076923076923,0.2403846153846154,0.7948717948717948,0.00950761805067291,ok,
0-14,Faringoamigdalitis,Camp de Tarragona,0.005105464486008591,0.01,1.0,"(1, 1, 2)","(0, 1, 1, 52)",4752.2079972699785,485.8309783736643,True,1233.7282711558146,1597.0709352744843,0.6884615384615385,0.375,0.8974358974358975,0.22096595291124546,ok,
0-14,Faringoamigdalitis,Catalunya Central,3.771494087117621e-09,0.013224464286893814,1.0,"(1, 1, 2)","(1, 1, 1, 52)",4910.279690252317,689.870665765584,True,1495.0820866327579,1837.6965712430517,0.6846153846153846,0.3173076923076923,0.9294871794871795,0.9306605497916651,ok,
0-14,Faringoamigdalitis,Girona,0.0008302685342328068,0.1,0.0,"(1, 0, 2)","(0, 1, 1, 52)",4776.137969556604,451.8665461046304,True,1401.8866423195557,1734.0446982338221,0.5307692307692308,0.22115384615384615,0.7371794871794872,0.009558105867378293,ok,
0-14,Faringoamigdalitis,Lleida,1.3232606993797264e-05,0.01,1.0,"(1, 1, 2)","(0, 1, 1, 52)",4803.00206273023,460.3768618972715,True,947.5390696927232,1227.9002899117504,0.8538461538461538,0.6442307692307693,0.9935897435897436,0.6279470461531083,ok,
0-14,Faringoamigdalitis,PenedÃ¨s,2.135195383473238e-05,0.1,0.0,"(1, 0, 2)","(0, 1, 1, 52)",4882.705667480941,462.65201033159485,True,1129.3347535844036,1335.1535021530972,0.6653846153846154,0.38461538461538464,0.8525641025641025,0.8354353895839286,ok,
0-14,Faringoamigdalitis,Terres de l'Ebre,3.330169330040593e-07,0.01,1.0,"(1, 1, 1)","(1, 1, 1, 52)",4603.552439065748,352.64939980895383,True,725.3176264740478,937.6650606373607,0.7,0.4807692307692308,0.8461538461538461,0.7078275300176946,ok,
0-14,Faringoamigdalitis estreptocÃ²ccica,Alt Pirineu i Aran,8.512676230108925e-13,0.01,1.0,"(0, 1, 2)","(0, 1, 1, 52)",4719.932302323368,323.0704102993998,True,525.0838438661334,675.794322352839,0.8807692307692307,0.7788461538461539,0.9487179487179487,0.4528982094412253,ok,
0-14,Faringoamigdalitis estreptocÃ²ccica,Barcelona Ciutat,7.694708550434619e-05,0.010125811211694516,1.0,"(0, 1, 2)","(0, 1, 1, 52)",4757.520111415593,453.324302440479,True,1333.89548858987,1655.3088710874035,0.6961538461538461,0.46153846153846156,0.8525641025641025,0.14556701206301975,ok,
0-14,Faringoamigdalitis estreptocÃ²ccica,Barcelona Metropolitana Nord,1.1591804709183062e-05,0.01,1.0,"(1, 1, 2)","(0, 1, 1, 52)",4573.72626818497,336.4150510699694,True,1674.905615467994,1954.8430808683152,0.4346153846153846,0.1346153846153846,0.6346153846153846,0.7254187729579566,ok,
0-14,Faringoamigdalitis estreptocÃ²ccica,Barcelona Metropolitana Sud,1.2251515633763736e-05,0.01694674392379508,1.0,"(0, 1, 2)","(1, 1, 1, 52)",4681.93891395438,439.6766383885747,True,1281.1156995954448,1587.2994966015883,0.7115384615384616,0.41346153846153844,0.9102564102564102,0.6513147653886807,ok,
0-14,Faringoamigdalitis estreptocÃ²ccica,Camp de Tarragona,0.06623342890225321,0.01,1.0,"(1, 1, 2)","(1, 1, 1, 52)",4182.86923741803,161.25964369721592,True,701.898637156089,804.5268518036411,0.7423076923076923,0.4326923076923077,0.9487179487179487,0.631050720731271,ok,
0-14,Faringoamigdalitis estreptocÃ²ccica,Catalunya Central,0.0007472915788081967,0.01,1.0,"(2, 1, 2)","(0, 1, 1, 52)",4358.549177834186,297.2219033960806,False,809.4569299641851,945.7632052300016,0.4653846153846154,0.20192307692307693,0.6410256410256411,0.953495161525968,ok,
0-14,Faringoamigdalitis estreptocÃ²ccica,Girona,1.9194428462259864e-07,0.01,1.0,"(1, 1, 2)","(0, 1, 1, 52)",4232.98643380069,218.2761853197731,True,694.889145138007,838.0545407567432,0.5307692307692308,0.2403846153846154,0.7243589743589743,0.6387769504991857,ok,
0-14,Faringoamigdalitis estreptocÃ²ccica,Lleida,6.524665938734693e-05,0.01,1.0,"(0, 1, 2)","(0, 1, 1, 52)",4350.885678125178,240.17078487009618,True,565.252068126269,673.9911998267942,0.8538461538461538,0.6346153846153846,1.0,0.9676348702528682,ok,
0-14,Faringoamigdalitis estreptocÃ²ccica,PenedÃ¨s,2.9420923424815935e-05,0.01,1.0,"(0, 1, 2)","(1, 1, 1, 52)",4323.17145859622,209.46203855300155,True,482.6907061488716,597.6717054122238,0.8961538461538462,0.75,0.9935897435897436,0.7305111908791134,ok,
0-14,Faringoamigdalitis estreptocÃ²ccica,Terres de l'Ebre,9.69818804849058e-05,0.01,1.0,"(0, 1, 2)","(1, 1, 1, 52)",4119.7205772853695,164.52371409408633,True,351.12786053192207,569.6717272359949,0.676923076923077,0.6442307692307693,0.6987179487179487,0.6366130029543303,ok,
0-14,Grip,Alt Pirineu i Aran,2.2660324531136158e-07,0.1,0.0,"(2, 0, 2)","(1, 1, 1, 52)",4797.313947903066,294.18961206730523,True,467.29678737476064,906.3642554210984,0.8846153846153846,0.9038461538461539,0.8717948717948718,0.7342072974345081,ok,
0-14,Grip,Barcelona Ciutat,1.487644306250385e-13,0.1,0.0,"(2, 0, 2)","(0, 1, 1, 52)",5210.994169049152,745.3547897894877,True,1143.4312482445398,2138.470753456494,0.926923076923077,0.9423076923076923,0.9166666666666666,0.7464937169905472,ok,
0-14,Grip,Barcelona Metropolitana Nord,1.0817192445024541e-14,0.1,0.0,"(2, 0, 2)","(1, 1, 1, 52)",5348.142769080971,894.5044778231593,True,1545.148644679379,2877.971544595542,0.9,0.9038461538461539,0.8974358974358975,0.9626778450659655,ok,
0-14,Grip,Barcelona Metropolitana Sud,1.5423936215969704e-14,0.1,0.0,"(2, 0, 2)","(0, 1, 1, 52)",5049.0019762862285,601.3701693427976,True,1067.9704097939011,1871.3262322326698,0.9115384615384615,0.9134615384615384,0.9102564102564102,0.9635299878669782,ok,
0-14,Grip,Camp de Tarragona,5.931575260047323e-11,0.1,0.0,"(2, 0, 2)","(0, 1, 1, 52)",4876.068186779409,459.65400568069106,True,673.1140604126648,1209.6613478052393,0.8846153846153846,0.8653846153846154,0.8974358974358975,0.8222198074385239,ok,
0-14,Grip,Catalunya Central,2.281219869872713e-11,0.1,0.0,"(2, 0, 2)","(0, 1, 1, 52)",5119.196019764609,509.2739761896912,True,781.6506457732195,1305.4608518442221,0.9346153846153846,0.9134615384615384,0.9487179487179487,0.6085277777641475,ok,
0-14,Grip,Girona,5.4772626465679775e-12,0.1,0.0,"(2, 0, 2)","(0, 1, 1, 52)",4887.062135851311,456.495117204892,True,581.7041838206516,1018.4225799629352,0.9038461538461539,0.9134615384615384,0.8974358974358975,0.9860056744642823,ok,
0-14,Grip,Lleida,1.0289872479502574e-10,0.1,0.0,"(2, 0, 2)","(0, 1, 1, 52)",5058.432589857715,410.6133542467326,True,578.2905961898422,939.8838527848811,0.9423076923076923,0.9326923076923077,0.9487179487179487,0.9977349474863483,ok,
0-14,Grip,PenedÃ¨s,1.9336471370768064e-10,0.1,0.0,"(2, 0, 2)","(0, 1, 1, 52)",4767.820684899751,278.5266848868174,True,460.9940033348281,713.49020196459,0.9115384615384615,0.9230769230769231,0.9038461538461539,0.30168992486024765,ok,
0-14,Grip,Terres de l'Ebre,2.8918373632261e-11,0.1,0.0,"(2, 0, 2)","(0, 1, 1, 52)",4863.154823091871,350.2100956248173,True,409.5507465220428,673.7699515047689,0.9423076923076923,0.9326923076923077,0.9487179487179487,0.9956243244555322,ok,
0-14,Impetigen,Alt Pirineu i Aran,0.0,0.01,1.0,"(2, 1, 1)","(0, 1, 1, 52)",5263.88265778914,678.5212852958017,True,809.0921152315026,1808.1702897556208,0.9807692307692307,0.9615384615384616,0.9935897435897436,0.7516595023315852,ok,
0-14,Impetigen,Barcelona Ciutat,0.0013610969675173447,0.01,1.0,"(1, 1, 2)","(0, 1, 1, 52)",4475.5530100316355,394.423999762859,True,853.506411428896,1116.0690320399326,0.6538461538461539,0.5576923076923077,0.717948717948718,0.8053430398785716,ok,
0-14,Impetigen,Barcelona Metropolitana Nord,0.002748560875199031,0.01,1.0,"(0, 1, 2)","(0, 1, 1, 52)",4321.783115152309,289.2563141910626,True,1026.2352283178113,1377.937978850395,0.9384615384615385,0.875,0.9807692307692307,0.9314300021433448,ok,
0-14,Impetigen,Barcelona Metropolitana Sud,0.004382591530975369,0.01,1.0,"(2, 1, 2)","(1, 1, 1, 52)",4242.745727153636,252.2522984803457,False,725.4770712797703,901.2262633374836,0.4423076923076923,0.22115384615384615,0.5897435897435898,0.4276534333203048,ok,
0-14,Impetigen,Camp de Tarragona,0.006157716038726621,0.01,1.0,"(1, 1, 2)","(0, 1, 1, 52)",3980.1828568658957,144.1510816338516,True,354.77266974882986,449.5881454408661,0.6038461538461538,0.5,0.6730769230769231,0.10614109794829772,ok,
0-14,Impetigen,Catalunya Central,1.2619932829990288e-09,0.01,1.0,"(2, 1, 2)","(1, 1, 1, 52)",4207.802166322394,154.61192290843314,False,254.65141227847522,344.62784001191557,0.8576923076923076,0.9134615384615384,0.8205128205128205,0.22218745027568906,ok,
0-14,Impetigen,Girona,8.247998159855347e-07,0.01,1.0,"(1, 1, 2)","(1, 1, 1, 52)",4019.720657857778,180.46414939884255,True,413.47066370561953,536.6477790601364,0.6307692307692307,0.625,0.6346153846153846,0.8914127546656595,ok,
0-14,Impetigen,Lleida,0.0,0.01,1.0,"(1, 1, 2)","(0, 1, 1, 52)",4216.623791965451,144.20514227288825,True,221.86444566345006,309.7180128786127,0.9076923076923077,0.8846153846153846,0.9230769230769231,0.7565072882227659,ok,
0-14,Impetigen,PenedÃ¨s,0.0010718319330677748,0.01,1.0,"(1, 1, 2)","(0, 1, 1, 52)",4022.4359726292478,138.33616516081116,True,316.20693081216496,407.262062069124,0.6615384615384615,0.6442307692307693,0.6730769230769231,0.8186969012007042,ok,
0-14,Impetigen,Terres de l'Ebre,1.2364334431024873e-24,0.1,0.0,"(0, 0, 2)","(1, 1, 1, 52)",4226.089311538163,134.67461643263502,True,309.47312632901685,438.755727989294,0.7923076923076923,0.8942307692307693,0.7243589743589743,0.9964346468892608,ok,
0-14,PneumÃ²nia,Alt Pirineu i Aran,4.288502808649635e-06,0.01,1.0,"(1, 1, 2)","(0, 1, 1, 52)",4958.573543618491,512.8121602456602,True,628.7926302545136,813.1282328357765,0.9423076923076923,0.9230769230769231,0.9551282051282052,0.522879782554284,ok,
0-14,PneumÃ²nia,Barcelona Ciutat,7.727831772103032e-09,0.1,0.0,"(1, 0, 2)","(0, 1, 1, 52)",4366.474797388886,190.07492325611656,True,470.5595975319413,650.9638504691688,0.7,0.7115384615384616,0.6923076923076923,0.38923857633456177,ok,
0-14,PneumÃ²nia,Barcelona Metropolitana Nord,3.4608684870711734e-07,0.1,0.0,"(2, 0, 2)","(0, 1, 1, 52)",4298.90156096057,177.8166403214866,True,493.26399237207244,662.5934566749976,0.6461538461538462,0.5865384615384616,0.6858974358974359,0.404293050437335,ok,
0-14,PneumÃ²nia,Barcelona Metropolitana Sud,1.0255253081563655e-07,0.1,0.0,"(2, 0, 2)","(0, 1, 1, 52)",4313.6321879600855,155.07535784771846,True,417.7594452145286,559.2478349145234,0.7153846153846154,0.6826923076923077,0.7371794871794872,0.859712969503449,ok,
0-14,PneumÃ²nia,Camp de Tarragona,3.804802331218729e-06,0.1,0.0,"(1, 0, 2)","(1, 1, 1, 52)",4180.390986833487,155.06929084047897,True,312.97623019785647,428.2176736190606,0.7307692307692307,0.6826923076923077,0.7628205128205128,0.735056168947424,ok,
0-14,PneumÃ²nia,Catalunya Central,1.0834629542228939e-08,0.1,0.0,"(1, 0, 2)","(0, 1, 1, 52)",4292.784643177061,170.55541758664623,True,300.5226089300698,395.0845099350617,0.7769230769230769,0.625,0.8782051282051282,0.8234939201809615,ok,
0-14,PneumÃ²nia,Girona,1.7701580557986805e-05,0.1,0.0,"(1, 0, 2)","(1, 1, 1, 52)",4006.2481177673108,108.06739055685892,True,214.43324356430423,405.96017731453674,0.7615384615384615,0.6634615384615384,0.8269230769230769,0.767009647050514,ok,
0-14,PneumÃ²nia,Lleida,2.121357807202165e-22,0.1,0.0,"(1, 0, 2)","(1, 1, 1, 52)",4396.167814679293,205.8879842589088,True,326.0398774027903,686.6370089806119,0.8961538461538462,0.7884615384615384,0.967948717948718,0.6106634962062265,ok,
0-14,PneumÃ²nia,PenedÃ¨s,1.678735213933392e-05,0.1,0.0,"(1, 0, 2)","(0, 1, 1, 52)",4120.765551516566,130.46334456764208,True,226.1564743331705,300.2559091089392,0.7653846153846153,0.7115384615384616,0.8012820512820513,0.0164914340616292,ok,
0-14,PneumÃ²nia,Terres de l'Ebre,7.470718582652512e-18,0.08617565598348917,0.0,"(0, 0, 2)","(0, 1, 1, 52)",4581.791836517838,323.3384918475979,True,276.44597215095894,380.33761610113464,0.9576923076923077,0.9423076923076923,0.967948717948718,0.9032276162239767,ok,
15+,Altres IRA,Alt Pirineu i Aran,0.002416666035565236,0.01,1.0,"(2, 1, 2)","(0, 1, 1, 52)",3946.9085813132638,109.82045679603033,False,331.7424335055124,402.5300464206253,0.6576923076923077,0.40384615384615385,0.8269230769230769,0.9649365729055126,ok,
15+,Altres IRA,Barcelona Ciutat,3.698409967753631e-07,0.01651748359402798,1.0,"(1, 1, 2)","(1, 1, 1, 52)",5113.920392577673,991.3483541271507,True,2247.256315555883,3117.819737862592,0.7923076923076923,0.5480769230769231,0.9551282051282052,0.046320711983163225,ok,
15+,Altres IRA,Barcelona Metropolitana Nord,8.563333711168368e-08,0.0345167187701802,1.0,"(2, 1, 2)","(1, 1, 1, 52)",5237.074856748911,1202.7441275285516,True,2902.4988509073887,4044.8438361571393,0.7961538461538461,0.5769230769230769,0.9423076923076923,0.8345422646986952,ok,
15+,Altres IRA,Barcelona Metropolitana Sud,1.257696992855248e-06,0.014182051178119225,1.0,"(1, 1, 2)","(1, 1, 1, 52)",5050.278333012951,811.3441938679346,True,1951.263734663682,2788.260136360176,0.8115384615384615,0.5961538461538461,0.9551282051282052,0.18394235455842112,ok,
15+,Altres IRA,Camp de Tarragona,0.005713494942598305,0.01,1.0,"(2, 1, 2)","(1, 1, 1, 52)",4580.751228446865,472.014172729218,False,1071.0763801524035,1341.58544745632,0.8769230769230769,0.7115384615384616,0.9871794871794872,0.7666575618550501,ok,
15+,Altres IRA,Catalunya Central,0.0004520388318737248,0.014173955248767522,1.0,"(2, 1, 2)","(0, 1, 1, 52)",4692.203135201115,529.6673310054449,False,1449.6519761849568,1675.1365514967374,0.9,0.75,1.0,0.5956603059213516,ok,
15+,Altres IRA,Girona,1.6304091942066746e-08,0.1,0.0,"(1, 0, 2)","(1, 1, 1, 52)",4663.4879983476685,526.044882742328,True,1007.9652349471769,1434.7662817895373,0.7807692307692308,0.5480769230769231,0.9358974358974359,0.9990027028525005,ok,
15+,Altres IRA,Lleida,0.004071058530574717,0.01,1.0,"(2, 1, 2)","(0, 1, 1, 52)",4451.659691786652,278.2989575840267,False,809.9908144939478,1084.9964116187505,0.8076923076923077,0.5961538461538461,0.9487179487179487,0.6549208717976431,ok,
15+,Altres IRA,PenedÃ¨s,0.0025106095394103567,0.01814778569285134,1.0,"(2, 1, 2)","(0, 1, 1, 52)",4483.262093111314,324.4890203130823,False,837.3348581311894,1010.5128858350798,0.8961538461538462,0.75,0.9935897435897436,0.4633000588579297,ok,
15+,Altres IRA,Terres de l'Ebre,5.89080005076077e-07,0.017053153452668567,1.0,"(2, 1, 2)","(0, 1, 1, 52)",4247.27876573082,196.05457512649213,False,522.6534430724201,720.4271934322309,0.7615384615384615,0.5096153846153846,0.9294871794871795,0.10283211105702943,ok,
15+,Bronquiolitis,Alt Pirineu i Aran,0.0,0.1,0.0,"(0, 0, 2)","(0, 1, 1, 52)",4505.730068433275,239.1529089241858,True,223.1408648476184,300.8219695306809,0.96484375,0.9903846153846154,0.9473684210526315,0.6821886477666553,ok,
15+,Bronquiolitis,Barcelona Ciutat,2.2665822958102387e-07,0.1,0.0,"(1, 0, 2)","(0, 1, 1, 52)",3252.2339314036617,30.035011945992164,True,34.09789673837881,47.02019296545464,0.9346153846153846,0.8942307692307693,0.9615384615384616,0.40687409720310147,ok,
15+,Bronquiolitis,Barcelona Metropolitana Nord,3.5810916774796686e-17,0.1,0.0,"(2, 0, 2)","(1, 1, 1, 52)",3387.6243520348435,37.04935273932084,False,35.81103646229981,53.65055323289008,0.9384615384615385,0.8653846153846154,0.9871794871794872,0.974878635077775,ok,
